id,node_id,position
11652314,104191960,0
11652314,104191966,1
11653025,104199796,0
11653025,104199801,1
11654378,104217557,0
11654378,104217567,1
11669324,104359624,0
11669324,104359632,1
11671412,104376926,0
11671412,104376931,1
11671412,104376937,2
11671412,4046916622,3
11671412,4046916621,4
11671412,104376943,5
11671412,2501948092,6
11671412,4046916615,7
11671412,2501948086,8
11671412,2501948084,9
11671412,2501948081,10
11671412,104376950,11
11671412,2501948077,12
11671412,2501948078,13
11671412,2501948082,14
11671412,2501948080,15
11672257,104637100,0
11672257,104383479,1
11672257,104383488,2
11672257,104383496,3
11674363,104400264,0
11674363,104400273,1
11679148,5000839605,0
11679148,5000839606,1
11679148,5000839607,2
11679148,5000839608,3
11679148,5000839609,4
11679148,5000839610,5
11679148,5000839611,6
11679148,5000839501,7
11679148,5000839503,8
11680155,104460070,0
11680155,104460081,1
11680951,104472678,0
11680951,2522970663,1
11680951,104396732,2
11682199,685065674,0
11682199,104486336,1
11682199,4066001290,2
11682199,104486348,3
11684003,104507936,0
11684003,281362844,1
11684003,1356087397,2
11684003,281362845,3
11684003,1356087401,4
11684003,104507928,5
11685903,104527301,0
11685903,104527312,1
11686535,686446992,0
11686535,4081682288,1
11686535,104534351,2
11687001,104538887,0
11687001,104538894,1
11687001,104538904,2
11687001,104538910,3
11687001,1356087458,4
11687001,104538920,5
11687001,104538933,6
11687835,104549250,0
11687835,104549261,1
11688644,685115186,0
11688644,693877031,1
11688644,685115188,2
11688644,685115189,3
11688644,685115190,4
11688644,104557640,5
11688644,685106617,6
11689268,1237975516,0
11689268,104565444,1
11689268,104565450,2
11689268,104565458,3
11689268,104565467,4
11689558,4065910404,0
11689558,1253650272,1
11689558,1253650552,2
11689558,104570073,3
11690178,104578726,0
11690178,104578738,1
11690764,104589013,0
11690764,1025849769,1
11690764,104589025,2
11691095,104593597,0
11691095,104593602,1
11691095,1254863694,2
11691095,1254863862,3
11691095,104593610,4
11691095,1254863877,5
11691095,1254863527,6
11691095,1254863730,7
11691095,1254863911,8
11691095,1254863994,9
11691095,1254863688,10
11691095,1254863826,11
11691095,1254863697,12
11691095,104593614,13
11691624,104599512,0
11691624,5594602162,1
11691624,104599527,2
11691624,5594602158,3
11691624,5594602157,4
11691624,4792394672,5
11691624,5594602154,6
11691624,5594602152,7
11691624,5594605078,8
11691624,5594605080,9
11691624,104599539,10
11691624,1808380979,11
11691624,1808380993,12
11691624,5594605087,13
11691624,1808381010,14
11691624,1808381000,15
11691624,104599551,16
11692625,104612525,0
11692625,104612535,1
11692625,104612542,2
11692625,104565458,3
11692625,104612547,4
11693103,104618443,0
11693103,5695523106,1
11693103,104618448,2
11693655,104625638,0
11693655,104625644,1
11694033,271197750,0
11694033,5312909785,1
11694033,271197711,2
11694033,5312909783,3
11694033,689934698,4
11694033,5455256665,5
11694033,5455256661,6
11694033,5455256658,7
11694033,5312909778,8
11694033,104630296,9
11694866,104638347,0
11694866,3103589425,1
11695329,104644820,0
11695329,1454510600,1
11695329,1454510602,2
11695329,1454510592,3
11695329,1454510557,4
11695329,1252047164,5
11695329,104644829,6
11695816,104649544,0
11695816,1252057978,1
11695816,1252058012,2
11695816,1454510624,3
11695816,104649556,4
11695816,1252047158,5
11695816,1252047166,6
11695816,104644829,7
11696624,104658356,0
11696624,104658364,1
11696624,104658369,2
11696977,104662629,0
11696977,1254870244,1
11697703,1454927306,0
11697703,2861423419,1
11697703,2766492986,2
11698245,104668923,0
11698245,104676077,1
11698245,104676084,2
11698245,4074240187,3
11698245,104676092,4
11698846,104682994,0
11698846,104683005,1
11699394,104689753,0
11699394,104689767,1
11700240,5320855600,0
11700240,5320855591,1
11700240,5320855592,2
11700240,5320855593,3
11700240,5320855594,4
11700240,5320855595,5
11700240,5320855596,6
11700240,686487514,7
11700240,3791873544,8
11700240,2699318116,9
11700240,3791873543,10
11700240,2699318115,11
11700240,3791873541,12
11700240,3791873542,13
11700240,2699318113,14
11700240,3791873540,15
11700240,104698140,16
11700240,3791873539,17
11700240,3791873536,18
11700240,3791873537,19
11700240,3791873538,20
11700240,2699318112,21
11700240,3791873535,22
11700240,2699318117,23
11700240,3791873534,24
11700240,1383428007,25
11700240,1383428015,26
11700240,1383428021,27
11700240,3652089738,28
11700240,3257696368,29
11701016,2807996473,0
11701016,2807996446,1
11701016,2807997924,2
11701016,2807997919,3
11701016,2807997923,4
11701016,2807996478,5
11701016,2807997915,6
11701016,2807997918,7
11701016,2807997931,8
11701016,2807997943,9
11701016,2807997935,10
11701016,2807996445,11
11701016,2807997929,12
11701016,2807997913,13
